"","BAT_ID","Batting_order"
"689","poncd001",9
"690","wooda002",9
"691","cowak001",9
"692","davit004",8
"693","kellm003",9
"694","mejis001",6
"695","tailj001",9
"696","webbl001",9
"697","courr001",8
"698","hellj001",8
"699","joe-c001",6
"700","kellb003",9
"701","may-d003",9
"702","melvt001",9
"703","minom001",9
"704","pedrd001",7
"705","pirej001",8
"706","torrr001",9
"707","toust001",9
"708","votha001",9
"709","adamc001",7
"710","andet002",9
"711","heint001",8
"712","milli001",9
"713","readr002",8
"714","rodre004",9
"715","wilsb003",9
"716","andeb004",9
"717","arozr001",8
"718","bettc001",9
"719","burnc002",9
"720","germd001",9
"721","haase001",7
"722","irvic001",9
"723","kingn001",9
"724","lockw001",9
"725","newcs001",9
"726","paxtj001",9
"727","torrl001",7
"728","turns003",9
"729","alfoa002",8
"730","castw001",8
"731","coleg001",9
"732","cordf003",9
"733","duplj001",9
"734","gruld001",8
"735","mckab001",9
"736","simsl001",9
"737","suzui001",9
"738","taylt002",9
"739","tulot001",9
"740","bolts001",8
"741","gonzm005",9
"742","greez001",5
"743","milew001",9
"744","norrd002",9
"745","parkj002",7
"746","pinem001",9
"747","porcr001",9
"748","tinoj001",9
"749","tomlj001",9
"750","wrigk001",9
"751","zavas001",8
"752","almoy001",9
"753","alzoa001",8
"754","andrm001",9
"755","bailh001",9
"756","baros002",8
"757","bassc001",9
"758","berrj001",9
"759","biebs001",9
"760","bolar001",9
"761","gibsk002",9
"762","gioll001",9
"763","helsr001",9
"764","kochm001",9
"765","lowrj001",9
"766","mcfat001",9
"767","mcraa001",9
"768","montm002",9
"769","noesh001",9
"770","nollj001",8
"771","novai001",9
"772","sosae001",8
"773","urquj001",9
"774","zimmb001",1
"775","adduj002",5
"776","allel002",8
"777","avela001",6
"778","bracb001",9
"779","brooa001",9
"780","cabrg001",9
"781","chenw001",9
"782","ciufn001",9
"783","coloc002",9
"784","cuetj001",9
"785","duffd001",9
"786","duram002",9
"787","erlir001",9
"788","fontw001",9
"789","gagnd001",9
"790","happj001",9
"791","hessd001",9
"792","loper003",9
"793","marvj001",9
"794","perdl002",9
"795","strac001",9
"796","suarr001",9
"797","tejar001",7
"798","tomay001",8
"799","beekj001",9
"800","carpr001",9
"801","casha001",9
"802","davij009",9
"803","guerj002",9
"804","hernf002",9
"805","holmc001",9
"806","jacke001",9
"807","marrd001",9
"808","meanj001",9
"809","menec001",9
"810","mills001",9
"811","nelsj004",9
"812","nottj001",3
"813","odorj001",9
"814","oswac001",9
"815","reedm001",1
"816","richg002",9
"817","robid003",6
"818","sabac001",9
"819","skagt001",9
"820","suara002",9
"821","swane001",9
"822","thort002",9
"823","vincn001",9
"824","waguj001",9
"825","wilka003",9
"826","allak001",9
"827","avilp001",9
"828","barrj003",9
"829","boydm001",9
"830","branr002",9
"831","bundd001",9
"832","cahit001",9
"833","canng001",9
"834","caram001",9
"835","chavj001",9
"836","chiry001",9
"837","civaa001",9
"838","clevm001",9
"839","coved001",9
"840","cuevn001",6
"841","detwr001",9
"842","dools001",5
"843","eovan001",9
"844","escol001",9
"845","eshet001",9
"846","fergc001",6
"847","flexc001",9
"848","gallg001",9
"849","gantj002",9
"850","glast001",9
"851","gracm003",9
"852","guerj003",9
"853","hadej001",3
"854","haggs001",9
"855","hartd002",9
"856","hughj001",4
"857","jackd004",7
"858","junij001",9
"859","kellj001",9
"860","kikuy001",9
"861","leblw001",9
"862","lopej004",9
"863","lynnl001",9
"864","markp001",1
"865","matop002",9
"866","mazzc002",9
"867","mengd001",9
"868","milot001",9
"869","montf001",9
"870","mortc002",9
"871","nicaj001",9
"872","parsw001",9
"873","penaf002",9
"874","perem004",9
"875","pluta001",9
"876","pricd001",9
"877","pruia001",9
"878","romas001",9
"879","ryank002",9
"880","sadlc002",9
"881","sampa001",9
"882","sanca006",9
"883","sandp002",9
"884","shefj001",9
"885","smitw002",8
"886","soboc001",9
"887","sotog003",9
"888","sparg001",9
"889","stamc001",9
"890","stewb001",9
"891","suarj001",9
"892","suteb001",9
"893","verlj001",9
"894","zimmj003",9
"895","adama002",9
"896","alanr001",9
"897","allec002",7
"898","anded003",8
"899","andet003",7
