"","nameFirst","nameLast","BAT_ID","RE24","PA","Runs.Start","RE24_risp","PA_risp","Runs_Start_risp","RE24_no_risp","PA_no_risp","Runs_Start_no_risp"
"102","Walker","Buehler","buehw001",-11.7371595884944,66,34.5883264292192,-7.90113262939427,25,17.3897446464481,-3.83602695910018,41,17.1985817827711
"103","Madison","Bumgarner","bumgm001",-9.5933133786647,76,38.4533599620167,-5.45874050651207,22,15.9128023160187,-4.13457287215262,54,22.5405576459981
"104","Corbin","Burnes","burnc002",-0.804065471643881,8,3.79082855973427,-0.218208425976462,3,2.45121879819168,-0.585857045667419,5,1.33960976154258
"105","Drew","Butera","buted001",-5.77642567567763,49,26.5657511214542,-2.99599696093369,17,12.3958581156509,-2.78042871474394,32,14.1698930058034
"106","Byron","Buxton","buxtb001",4.28478813556374,295,158.063022409891,5.01003778173344,76,68.6458103903362,-0.725249646169704,219,89.4172120195544
"107","Asdrubal","Cabrera","cabra002",20.3398573113007,514,280.855341156209,21.2411386902293,161,133.924534897388,-0.901281378928615,353,146.930806258821
"108","Genesis","Cabrera","cabrg001",-1.57517826264826,4,2.27260093072905,-1.14165873147112,2,1.6003173546081,-0.433519531177137,2,0.672283576120957
"109","Miguel","Cabrera","cabrm001",5.39206974773984,549,286.969579539324,8.28327543340298,131,125.457016894775,-2.89120568566314,418,161.512562644549
"110","Melky","Cabrera","cabrm002",-4.02763770880719,397,215.615919813705,0.411073374448267,124,109.780046023391,-4.43871108325546,273,105.835873790314
"111","Lorenzo","Cain","cainl001",-20.6821261132262,623,311.294601581327,-18.3532127223996,140,116.507838367805,-2.32891339082667,483,194.786763213521
"112","Kole","Calhoun","calhk001",1.06180430485448,632,320.265733059482,-10.0041391646445,153,133.222756317713,11.065943469499,479,187.042976741769
"113","Willie","Calhoun","calhw001",4.16691105875324,337,174.734920755186,1.68258740702057,80,73.3633630905895,2.48432365173267,257,101.371557664597
"114","Johan","Camargo","camaj001",-3.64659028212911,248,131.090272922949,6.64239121062969,65,59.6209703293793,-10.2889814927588,183,71.4693025935694
"115","Jeimer","Candelario","candj002",-13.086194610228,386,201.169478411504,-9.11885620702291,94,78.511633889471,-3.96733840320511,292,122.657844522033
"116","Mark","Canha","canhm001",25.646353762351,497,260.945018613979,-2.50311638942929,119,107.041294886831,28.1494701517803,378,153.903723727148
"117","Robinson","Cano","canor001",-12.3634242407087,422,208.660516016909,-12.7614781971769,93,82.3057323861043,0.398053956468258,329,126.354783630804
"118","Victor","Caratini","carav001",0.834089164784042,279,147.179823954074,-1.37786889875316,81,75.5430625191711,2.21195806353721,198,71.6367614349031
"119","Matt","Carpenter","carpm002",-5.44858240040466,491,251.661530107013,-8.0319148306781,109,92.5312823976699,2.58333243027344,382,159.130247709343
"120","Curt","Casali","casac001",3.18610139410774,236,115.520918375601,-4.61913604565715,57,47.0973062441059,7.80523743976489,179,68.4236121314954
"121","Andrew","Cashner","casha001",-0.959707105753178,3,1.82090117813859,-0.537621464390376,1,0.996280087527352,-0.422085641362802,2,0.824621090611239
"122","Harold","Castro","casth001",-4.68890615830119,369,178.766668911517,4.3564855753217,84,69.0575517391536,-9.04539173362289,285,109.709117172363
"123","Jason","Castro","castj006",-1.62576007208487,275,151.776754982263,-2.78573425825223,72,69.6927406865124,1.15997418616736,203,82.0840142957508
"124","Luis","Castillo","castl003",-18.4662461444626,66,39.2710088449983,-11.6612370117904,20,19.5246563725671,-6.80500913267225,46,19.7463524724312
"125","Nick","Castellanos","castn001",17.8588363212793,664,313.265213115172,-1.60247946352503,118,97.3901556503835,19.4613157848044,546,215.875057464788
"126","Starlin","Castro","casts001",-12.1643875842174,676,348.045563656967,-4.05747418922699,166,144.318184803604,-8.10691339499045,510,203.727378853363
"127","Wilkin","Castillo","castw001",0.671846254958988,7,2.82172051868563,1.87457924024552,1,0.458658623136977,-1.20273298528654,6,2.36306189554865
"128","Welington","Castillo","castw002",-2.82957752926499,251,130.831903296035,7.9068345275962,67,57.8583156114525,-10.7364120568612,184,72.9735876845823
"129","Willi","Castro","castw003",-8.06782540496877,110,57.2135089209712,-4.82530869653075,28,25.4593841200648,-3.24251670843801,82,31.7541248009065
"130","Jake","Cave","cavej001",0.706903504926511,228,121.177792142125,-2.00995334312904,53,49.1362720660267,2.71685684805555,175,72.041520076098
"131","Juan","Centeno","centj001",-0.583627433733484,18,7.21591803384593,1.19927000668411,7,3.80902119485658,-1.78289744041759,11,3.40689683898935
"132","Francisco","Cervelli","cervf001",-7.38843293848626,160,78.2655978209634,-6.7605967041163,41,30.4988084327815,-0.627836234369953,119,47.7667893881819
"133","Jhoulys","Chacin","chacj001",-3.86138659018962,25,9.93906008585788,-1.5815370244351,3,2.18557429151585,-2.27984956575452,22,7.75348579434203
"134","Yu","Chang","chany001",-7.63058274161947,84,42.8107446026711,-2.91917743288072,20,16.0422251577472,-4.71140530873875,64,26.7685194449238
"135","Matt","Chapman","chapm001",28.383864046257,670,330.282003437274,21.695074077777,134,114.747049752503,6.68878996848005,536,215.53495368477
"136","Tyler","Chatwood","chatt001",-3.09413569731652,21,13.3176496359083,-1.46914817081954,7,6.17827969819498,-1.62498752649698,14,7.1393699377133
"137","Michael","Chavis","chavm001",1.01098107964829,382,218.15302875491,-0.596316291109883,111,99.9126851644824,1.60729737075818,271,118.240343590428
"138","Robinson","Chirinos","chirr001",6.28927002396241,437,236.301368442494,-2.51626769499982,122,108.782360581252,8.80553771896224,315,127.519007861242
"139","Yonny","Chirinos","chiry001",-0.796909569469199,2,1.79318965699655,-0.558145524525378,1,1.55442561205273,-0.23876404494382,1,0.23876404494382
"140","Ji-Man","Choi","choij001",10.6219165339617,487,260.525149370749,-0.229098548023236,121,110.43140615485,10.8510150819849,366,150.093743215899
"141","Shin-Soo","Choo","choos001",23.9510930218431,659,333.563914159686,7.59013861591107,132,104.875795109679,16.360954405932,527,228.688119050007
"142","Nick","Ciuffo","ciufn001",-1.01781179489771,6,4.81778141586081,-0.443574989669129,1,1.16692284045496,-0.574236805228583,5,3.65085857540585
